[     355ms] [LOG] [HMR] connected @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[   31665ms] [LOG] [HMR] connected @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  117512ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: The network connection was lost. @ :0
[  118624ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  119676ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  120783ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  121879ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  122930ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  128000ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  133068ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  138183ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  143294ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  148314ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  153373ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  158477ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=ZyvbhlmY5-qfpD9XHGR_t' failed: Could not connect to the server. @ :0
[  158483ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:3301/en/admin/system/ui-components:0
[  361781ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  361993ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  362599ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  391779ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[  391780ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[  391782ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  391997ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[  391999ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[  392000ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  392612ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[  392613ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[  392614ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  421794ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  422004ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  422617ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[  451768ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[  451769ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
